city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Mumbai_suburbs,24,CNN-BiLSTM,B,15096,3217,71,0.4696,25.72,35.39,25.8,0.862
Nagpur,1,CNN-BiLSTM,B,56465,12082,70,0.798,19.63,29.53,137.2,1.763
Nagpur,6,CNN-BiLSTM,B,56461,12081,70,0.6576,26.21,38.44,97.8,1.781
Nagpur,24,CNN-BiLSTM,B,56449,12078,70,0.6239,28.44,40.29,79.0,1.79
Pune,1,CNN-BiLSTM,B,49301,10547,64,-0.3214,69.26,94.54,110.6,1.597
Pune,6,CNN-BiLSTM,B,49298,10545,64,-4.6833,142.48,196.08,73.0,1.66
Pune,24,CNN-BiLSTM,B,49285,10543,64,-18.2229,280.83,360.64,52.7,1.622
Singrauli,1,CNN-BiLSTM,B,48629,10403,64,0.6034,46.05,67.88,121.8,1.614
Singrauli,6,CNN-BiLSTM,B,48626,10401,64,0.4513,56.73,79.85,68.5,1.657
Singrauli,24,CNN-BiLSTM,B,48613,10399,64,0.4269,58.0,81.62,73.6,1.582
Surat,1,CNN-BiLSTM,B,18278,3899,58,0.2649,42.5,76.68,38.4,0.945
Surat,6,CNN-BiLSTM,B,18274,3898,58,0.2946,43.85,75.13,30.2,0.935
Surat,24,CNN-BiLSTM,B,18262,3895,58,0.1599,52.99,81.93,34.4,0.921
Thane,1,CNN-BiLSTM,B,14339,3055,71,0.7221,16.93,25.19,41.8,0.842
Thane,6,CNN-BiLSTM,B,14336,3054,71,0.6086,20.77,29.89,34.3,0.854
Thane,24,CNN-BiLSTM,B,14323,3052,71,0.5496,22.22,32.05,26.4,0.876
Vapi,1,CNN-BiLSTM,B,40774,8720,70,0.3908,42.14,59.76,72.7,1.435
Vapi,6,CNN-BiLSTM,B,40771,8719,70,0.3749,44.16,60.54,50.4,1.46
Vapi,24,CNN-BiLSTM,B,40758,8716,70,0.1589,51.72,70.23,54.3,1.422
bhopal,1,CNN-BiLSTM,B,30435,6504,72,0.7268,27.14,41.15,106.2,1.23
bhopal,6,CNN-BiLSTM,B,30432,6503,72,0.654,30.28,46.31,51.5,1.202
bhopal,24,CNN-BiLSTM,B,30419,6501,72,0.618,33.75,48.65,44.6,1.262
vishakhapattanam,1,CNN-BiLSTM,B,24205,5169,72,0.6888,30.3,47.81,63.0,1.057
vishakhapattanam,6,CNN-BiLSTM,B,24201,5168,72,0.5975,35.32,54.37,44.7,1.103
vishakhapattanam,24,CNN-BiLSTM,B,24189,5165,72,0.4622,41.23,62.87,31.0,1.105
